字,聲母,介音,韻腹,韻尾,聲調,注
一,,,i,t,7,
丁,t,,i,n,1,
七,tɕʰ,,i,t,7,
万,,u,a,n,6,
丈,tʰ,,o,ŋ,6,
三,s,,a,m,1,
上,s,,o,ŋ,6,
下,h,,a,,6,
与,,,i,,3,
丐,kʰ,,o,i,5,
丑,tʰ,i,u,,3,
醜,tʰ,i,u,,3,
專,t,,o,n,1,
且,tɕʰ,i,a,,3,
丕,pʰ,,i,,1,
世,ɕ,,i,,5,
丘,tɕʰ,i,u,,1,
丙,p,,i,n,3,
業,n,i,ɛ,p,8,
叢,tsʰ,,u,ŋ,2,
東,t,,u,ŋ,1,
絲,s,,ɿ,,1,
丞,ɕ,,i,n,2,
丢,t,i,u,,1,
兩,t,i,o,ŋ,3,
嚴,n,i,ɛ,m,2,
喪,s,,o,ŋ,1,
喪,s,,o,ŋ,5,
个,k,,o,,5,
丫,,,a,,1,
中,t,,u,ŋ,1,
中,t,,u,ŋ,5,
丰,f,,u,ŋ,1,
串,tʰ,,o,n,5,
臨,t,,i,m,2,
丸,,y,o,n,2,
丹,t,,a,n,1,
爲,,u,i,,2,
爲,,u,i,,6,
主,t,,u,,3,
丽,t,,i,,6,
舉,tɕ,,i,,3,
乃,l,,a,i,3,
久,tɕ,i,u,,3,
義,n,,i,,6,
之,t,,i,,1,
烏,,,u,,1,
乍,tsʰ,,a,,6,
乎,f,,u,,2,
乏,f,,a,t,8,
樂,l,,o,ʔ,7,
樂,ŋ,,o,ʔ,7,
樂,ŋ,,o,ʔ,8,
喬,tɕʰ,i,a,u,2,
乖,k,u,a,i,1,
乘,ɕ,,i,n,2,
乙,,,i,t,7,
九,tɕ,i,u,,3,
乞,tɕʰ,,i,t,7,
也,,i,a,,3,
習,ɕ,,i,p,8,
鄉,ɕ,i,o,ŋ,1,
書,s,,u,,1,
買,m,,a,i,3,
亂,l,,o,n,6,
乳,,,ɛ,,3,
乾,tɕʰ,i,ɛ,n,2,
了,t,i,a,u,3,
爭,ts,,a,ŋ,1,白
爭,ts,,ɛ,n,1,
事,s,,ɿ,,6,
二,,,ɛ,,6,
于,,,i,,1,
虧,kʰ,u,i,,1,
雲,,,y,n,2,
互,f,,u,,6,
五,ŋ,,̍,,3,
井,tɕ,i,a,ŋ,3,白
井,tɕ,,i,n,3,
